frequency_Hz,gain,magnitude_dB,phase_deg
4.0001,0.4527704295697772,-6.88243889319908,-89.96812081515232
4.20034,0.45583933889187717,-6.823763959311075,-95.95969502709818
4.40008,0.4785575016099963,-6.401317432285922,-99.8764230886717
4.6,0.4994443213917019,-6.030258407424696,-104.81730332320211
4.799899999999999,0.5590114702160239,-5.051585616854056,-108.50397723736751
5.000183333333333,0.7250773807680674,-2.7923128548619696,-111.04206088515647
5.1,0.7803689841784653,-2.153999999999999,-110.8003
5.200033333333333,0.9476117791182023,-0.467390989921658,-115.90542975127622
5.3,1.0106598196669885,0.09209999999999988,-119.60319999999999
5.400100000000001,1.4057843139980786,2.958373861386432,-120.34011598198386
5.50005,1.774891243378185,4.983434935452906,-131.18816015137108
5.55,2.0717149498494734,6.3266,-136.3227
5.600071428571428,2.375416782858536,7.514796410714815,-155.5646239546641
5.6501,2.6870763094306716,8.5856,-178.4642
5.7002,2.488381062569323,7.918337751074272,-190.53728813809715
5.7494,2.3942252133331423,7.583300000000001,-210.64199999999997
5.8000333333333325,2.221825662333366,6.934199572231895,-215.33371694721384
5.9,1.734303098481986,4.7825,-224.9216
6.0,1.3891012436244936,2.8546780025141896,-238.1078942560452
6.1001,1.1753710781160351,1.4034999999999986,-243.1118
6.200083333333333,0.8907818679040254,-1.0045726344971246,-244.69225792887184
6.2996,0.7732056164176677,-2.2341000000000006,-245.14300000000003
6.400083333333334,0.6509481206596409,-3.7290724501124894,-247.71260204341743
6.4999,0.5887894233481865,-4.6008,-242.80870000000002
6.60005,0.47706552459745466,-6.428439336734744,-254.5851379743138
6.7002,0.45980109373863054,-6.7486,-253.7005
6.8001000000000005,0.3833402438256933,-8.328311704974178,-253.53477009398412
6.9,0.34454027815758675,-9.255200000000002,-253.26190000000003
7.000366666666667,0.3245226128108512,-9.775100721382344,-254.48055554319134
7.20008,0.276523644568649,-11.165354555420148,-256.32359989927215
7.40004,0.23427872030121863,-12.60534313761752,-255.66270385733597
7.600060000000001,0.2050193220369011,-13.764104139024745,-257.90401841642694
7.80012,0.1730946901983548,-15.234325084193278,-255.10938285551867
8.000139999999998,0.15027125109732753,-16.462481956330496,-258.3006447478509
8.2001,0.13645357739214417,-17.30030147964691,-260.3941654716914
8.40006,0.11684671706696147,-18.647669701332738,-261.1111622301678
8.60004,0.10497347181815647,-19.57840878024443,-261.42882772370854
8.80008,0.09761035287670748,-20.210082343638156,-262.00068413459644
9.000119999999999,0.08739359092208349,-21.170408310523186,-262.6334079474717
9.20014,0.07998508730520314,-21.939819536354538,-263.72831037740457
9.40006,0.07264477154575878,-22.775912753413593,-264.5889606080984
9.600079999999998,0.06622206045894533,-23.579946211326032,-264.6658645284787
9.80006,0.06219071310118772,-24.125489267609478,-266.1143505340034
9.999979999999999,0.05982630018826606,-24.46215708422665,-265.10396614294035
